User Name;Rating;Review;Waktu Upload
APN41;3;Maaf admin, sebagai masukan.   Masalah: masih ada tahapan yang mana pemohon masih harus ke kantor Dukcapil utk melakukan verifikasi barcode.   Solusi: sekiranya tahapan verifikasi barcode pada kantor dukcapil di gantikan dengan verifikasi online menggunakan vidio interaktif dengan operator dan/atau mengirimi barcode ke email dan/atau nomer tlfn dan/atau cara lainnya yang sifatnya online  Tujuan: agar mempermudah dan efektivitas  seluruh tahapan yang dilakukan oleh pemohon dalam pengajuan Identitas Kependudukan Digital tanpa melewati prinsip kehati-hatian dan rahasia data pribadi   Harapan: semoga seluruh produk dukcapil mengenai data diri atau identitas bisa dalam satu app atau superapps dukcapil agar terujud nya goverment yang efektif dan efisien   Terimakasi ;14/12/2023 13.31
usergege;3;Admin, mohon bantuan. saya tidak bisa buka dokumen kependudukan saya. Sudah pindah device, sudah uninstal trus instal lagi, bersihkan cache, force stop, semuanya sudah. Tapi tetap ga bisa dibuka dokumennya. Tolong bantuannya. Terima kasih;10/10/2023 06.47
Ganti Nama, jadi entaraja;1;Seriusan apanya yang online kalo tetep disuruh dateng ke dukcapil?, sia sia gw bayar pajak tiap tahun cuma buat ngempanin orang2 tolol yg kerja di dukcapil ;04/08/2023 08.51
Nakam2323;1;Katanya digital tapi masih diharuskan datang ke dukcapil untuk scan QR, seharusnya pada saat registrasi itu QRnya otomatis di kirim ke email.;23/08/2023 03.20
4swu;1;ini serius?, online tapi disuruh dateng ke kantor, tidak bagus banget;08/08/2023 13.50
Ikhsan Siahaan;1;Apa cuma aku di sini yang kalau klik dokumen malah loading dan error terus ? padahal koneksi internet lancar aja;05/10/2023 07.55
Royirw26;3;Fitur dokumen pada IKD di IOS masih belum bisa di buka min, masih loading terus dan akhirnya gagal menampilkan dokumen KTP dan KK;07/10/2024 02.13
fjemmyc;5;Cons: with budget provided and expense on the IT infrastructure for data recording, public should have better facilities and services. Thats still long way to go for my great country. Pros: good security protection, you cannot print screen the data when you open the apps.  ;27/09/2023 01.27
luminouscent;1;Sebelom diwajibkan install ini sama dukcapil karena saya pindah domisili, gak ada yg spam aneh aneh. Bahkan orang mau nipu pun gatau nama saya. Tapi setelahnya, ada bot tau nama lengkap saya, orang spam malware ke whatsapp. Ini data rakyat jangan dijual dong! Atau kalo gak ngerasa ngejual, artinya security nya jelek, nyesel masukin nomer hp.;03/02/2024 02.39
wirawan_abcd;3;sepertinya sdg ada problem, KTP dan KK tidak bisa tampil;04/10/2023 11.09
buruh ambek;1;agak laen bapakmu agak laen bapakmu agak laen kau sekeluarga, aplikasi agak laen ni;20/08/2024 02.04
A3eofe;2;Tolong verifikasi QR code dari petugas (manual/offline) diganti jadi Verifikasi via Email (online), ini aplikasi cocoknya untuk mesin anjungan mandiri untuk di kantor saja.;18/07/2024 02.50
Vadjar;1;Appnya hnya di pkai buat scan QR code, sngat tdak mmbantu;15/07/2024 07.35
si'akcnl;1;sebaiknya gausah bikin aplikasi soalnya baru download - masuk aplikasi udah gabisa  Paling bener fotocopy emang ;12/07/2024 18.44
Andre tarigan 12;1;Sebagai saran, utk verfikasi qr better dibuat online. Kalo harus ke dukcapil domisili sama aja kaya ktp biasa. Maaf;12/07/2024 09.55
Brutalz06;1;Gak ada gunanya bikin digital ktp, ujung2nya tetep diminta fotocopy ktp. Woii ini udah 2024 masi aja hidup di jaman purba;11/07/2024 14.48
krikicik;1;Terserah klean lah..;11/07/2024 04.54
cokksh;1;aplikasi taek di buka aja ga bisa;24/04/2024 06.04
jonin konoha;1;Digital tapi harus scan qr ke dukcapil... konoha gk bener... pajak di naik2in cuma buat para pejabat yg butuh duit;15/01/2024 06.05
Hypercaffium;1;Digital ndasmu, apanya yg digital kalo harus tetap pergi ke dukcapil? Digital cuman jargon gimmick doang;06/01/2024 14.42
Dellamandac;2;Gabisa reset password dengan mudah harus ke kantor dukcapil!! Kayak ente bank aje, rese bgt plis!;18/11/2024 04.33
Khairul Adami;5;Akhirnya Rilis juga di IOS, Aplikasinya sudah bagus cuma perlu bbrpa perubahan kedepan lagi dan tambahan menu yg lbh canggih, untuk yg blg harus scan barcode mmg begitu caranya, lagian cuma scan sekali saja apa susah nya sih datang ke kantor capil;19/09/2023 16.09
penggunalawas22;1;Ternyata harus datang langsung ke Disdukcapil.;03/08/2023 06.59
naila mchlle;5;dupcapil bisa dan prima;08/06/2023 00.17
Dusep Muhammad;1;Sudah daftar tp kenpa pas ganti handphone harus daftar lg;04/12/2024 04.08
Groomsmen;1;Ini benar gak bisa save file KK langsung ke hp?;02/12/2024 14.47
pratama tony;1;Goblogggg dipersulit diperlama pajak bayar pemerintah molorrrr anjinhh;02/12/2024 02.21
jdheidhe;1;saya sudah pernah daftar tetapi harus daftar lagi;02/12/2024 00.35
Kyaf99;1;Masih harus ke kantor dukcapil nya buat scan barcode verifikasi, klo cepet prosesnya sih mau mau aja gua;29/11/2024 10.29
Calon gubernur DKI;1;Burukkk sekaliiii;29/11/2024 05.56
Pikaachan;1;Sangat tidak disarankan karna memperibet dalam pengurusan dokumen secara online tetapi tetap harus ke kantor disdukcapil nya. Kirain bakalan di permudah ternyata sama saja.;29/11/2024 02.42
bagsaprt;1;Online tp verifikasi harus datang ke kantor;28/11/2024 10.08
beni-anwar;1;Istilah digital cuma isapan jempol, sistem yang tidak bisa menghandle kebutuhan usernya.;28/11/2024 08.13
Bss.bandungkab.go.id;1;Web antrian cetak e-ktp eror tiba tiba antrian penuh!!!  Domisili SOREANG BANDUNG KABUPATEN;26/11/2024 01.33
Listiyaa;1;Sangat tidak membantu, proses lama dan tidak jelas, pengajuan cetak kk sampai 10 hari tidak di proses proses;25/11/2024 05.06
DEWE..;1;Tolong di fix, ga bisa registrasi;23/11/2024 03.26
Chandraokto;5;Berhasil bikin akta lahir secara online pakai aplikasi tanpa harus kekantor;20/11/2024 09.46
Meishafani;1;Namanya doang identitas kependudukan digital, tapi suruh dateng k dukcapil buat konfirmasi di era gempuran digitalisasi. Jadul bgt padahal bagian dr kepemerintahan. Malu sm bank swasta.;19/11/2024 11.54
perjek;1;sinyal bagus tetap masalah koneksi udh, setelah install ulang tetap saja;19/11/2024 09.15
0,1169;4;biar lebih aman;19/11/2024 08.35
Shindis;1;Seriusan update terakhir 1 tahun yg lalu?;17/11/2024 12.54
dul hadi507;1;"SELALU ERROR DI SAAT BUKA PELAYANAN ""BROWSER NOT SUPPORTED"" smoga berkah buat kalian semua yg bikin susah orng ";16/11/2024 20.36
Purasti;1;Apk tidak guna;15/11/2024 09.13
ric*****kjhjljhhv;1;ribet bukan di permudah malah tambah ribet harus scan qr code segala, aplikasi pemerintah kebanyakan gk jelas, ribet, bukan mempermudah, sampah;14/11/2024 03.49
Ala Furqon;5;Sangat Memudahkan, Terima Kasih;14/11/2024 22.30
alexdwiky;1;Harus datang ke kantor dukcapil untuk verifikasi. Padahal bisa via OTP;13/11/2024 11.17
dieganabeldi;1;Gabisa bintang 0 ya? Kebagusan 1;12/11/2024 06.14
kinoy m;1;Mau scan malah clos sendiri terus udah jau jau ke kantor malah gak bisa kenapa sii;12/11/2024 02.58
rafraf__raf;1;Ya Gini kalau pemerintah di isi orang gaptek, katanya online tapi verifikasi nya offline;09/11/2024 08.04
sunanar;1;sekelas aplikasi pemerintah tidak bagus sekali. APBN doang yang gede;09/11/2024 05.15
yojiii3;1;Error mulu, sulit akses padahal sinyal normal2 aja, menyayangkan;08/11/2024 10.30
Rybagaskara;1;Pembuatan akte kalahiran tidak ada kemajuan sama sekali;03/11/2024 20.57
Dheawalters;1;aplikasi online tapi tetap harus ke kantornya;03/11/2024 06.10
Rizky N M;1;buat apa aplikasi ini tidak berguna, klo pendaftaran masih diperlukan offline/ke dukcapil;31/10/2024 13.01
Tom889ui;1;Harus ke dukcapil;30/10/2024 09.57
Andrew2594;1;Digital tp QR manual ke kantor? Terus fungsinya apa aplikasi ini?;30/10/2024 07.13
Alkalin Fauzi;1;Buat apa sosoan pake aplikasi sosoan online kalo endingnya juga ke kantor dukcapil???   Gabisa reset pin???   Gabisa sett pin sendiri ?;29/10/2024 13.56
Percuma bayar pajak;1;Yang buat sudah pernah nyoba?;29/10/2024 06.18
Dizaqqqq;1;Bikin rugi apbn aplikasi tidak jelas aneh;27/10/2024 16.34
Eka..1;1;Udah dari 2 bulan yang lalu minta suart pindak kk / pindah individu. Gk ada progresnya, serius gk sih buat aplikasi ini ?;27/10/2024 15.01
Rahmad fahrurrozy;3;Dokumen tidak bisa di buka;10/10/2024 16.40
