User Name;Rating;Review;Waktu Upload
Adrian Tanaka;5;Terimakasih Dispenduk;03/12/2024 13.20
Ragel Karmono;1;aplikasi tidak bisa di buka? ini pembodohan;03/12/2024 13.19
Ammar Fikri;1;sepertinya tidak perlu memakai aplikasi kalau akhirnya nya harus ke capil juga untuk scan kode barcode nya;03/12/2024 13.02
Ferdinand Khaidir;5;good;03/12/2024 11.33
Pa Fitri;4;Bagus;03/12/2024 11.08
Cepi Jaelani;1;kirain bisa via online maka di permudahkan semua nya.. kalau harus scan qr ke dukcapil lagi.. ngapain bikin aplikasi ini..coba pikir bagaimana sama orang yg jauh tempat tinggal nya..apalagi perantau..kalau akhirnya harus ke dukcapil hanya buat scan qr aja..yy allah..udah senang dapat aplikasi ini..rupanya harus scan qr di dukcapil lagi..itu mah sama aja bikin di dukcapil langsung..;03/12/2024 10.50
Hilyan Nopiandar;3;Bagus, sayangnya tetap saja harus ke kantor, harus scan QR. Jadi aplikasi ofline saja;03/12/2024 09.32
The Faizian;4;Semoga ke depan sudah bisa dikirim email, soal hasil suratnya saya kesulitan memperoleh karena jauh. butuh di bogor, tapi posisi di padang, karena kerja di lembaga pendidikan.;03/12/2024 08.54
Endang Kusnedi;4;Sangat bermanfaat utk kebutuhan di era digitalisasi;03/12/2024 06.18
Cahyo Aji Purnomo;1;Scan Qr kode barcode untuk registrasi setelah foto selfie tidak nasional tidak bisa scan di disdukcapil lain ataupun di kantor kecamatan lain,, jadi harus datang ke kantor disdukcapil alamat asal ktp atau kantor kecamatan alamat asal ktp,, dan beberapa daerah yang tidak melayani online by vidio call ataupun chat whatsapp untuk pelayanannya,, lalu bagaimana yang merantau di luar kota bahkan di luar pulau atau provonsi untuk mendapatkan Qr kode barcode alamat asal ktp untuk registrasi APP IKD ini ?;03/12/2024 06.03
ROPENSIUS SIMARMATA;5;Simpel dan mudah data ada di Aplikasi;03/12/2024 05.00
danti try natria;1;Saya lagi urus pindah KTP tapi aplikasinya gak support untuk hp (infinix note 30) saya. Kalau mau serba digital mestinya gak kejadian yg kaya gini. Tolong di update jadi semua tipe hp bisa install;03/12/2024 04.59
rian aja;1;Pemerintah membuat pekerjaan yang sia sia membuang uang negara... Klo seandainya sdh online kenapa harus minta barcode LG ke kantor dukcapil??? Kan itu tindakan bodoh 2 x kerja ga efisien....;03/12/2024 04.50
Andry Rehatta;5;bagus dan mudah di gunakan;03/12/2024 04.45
Untung Kurniawan;1;Kalau pemerintah yg kelola ya gitu kualitas di bawah inti bumi standar ;03/12/2024 04.35
Herada Mitsyumi Kyusuda (JZ13CKB);5;Bagus;03/12/2024 03.49
ucup icip;1;Kurang simple menurut saya,, penambahan peserta baru harus browsing lagi ke esimpel trus masuk esimpel sulit banget, minta kirim kode baru nggak bisa masuk nggak ada kode yang dikirim, padahal mengikuti sebuah prosedur,, bukanya mempermudah tapi mempersulit,,,,, Birokrasi nya lebih enak di Jogja pelayanan simpel jelas jika lupa gampang banget minta kode ulang;03/12/2024 02.52
Egi 999;1;Aneh buat apa di bikin online kalau harus masih Dateng ke kantor cuma buat minta barcode, aneh.;03/12/2024 02.50
Sudi Aiman;1;tidak bisa di install di PC;03/12/2024 02.04
Sugeng Wibowo;1;Seharusnya semua perangkat penunjang disiapkan dengan matang, lalu di beri tahu mulai dari tingkat Kecamatan ke lurah lalu ke RW dan RT hingga sampai ke warga.;03/12/2024 01.17
Rumah Gelang Ukir;1;Jelek;03/12/2024 00.19
E E C CHANNEL;1;Aplikasi sampah;02/12/2024 19.53
Dimas Andrian;1;Aplikasi gak guna malah di persulit aneh;02/12/2024 14.36
Saddan Saddan;5;membantu masyarakat setempat;02/12/2024 14.28
M Z Rzky;1;aplikasi lemot;02/12/2024 11.50
